text,label
Je me sens comme une femme à un parker déjà agité,4
J'ai acheté il y a des mois tout en me sentant assez mal à l'aise sur mes cuisses et mes cuisses et ce fait une telle différence à la fermeté de ma peau,4
Je suis devenu si craintif de ce qu'on m'a dit et des pensées,4
Je me sens agité niveaux de stress irritables sont énormes j'ai une grosse bosse dans ma gorge mes yeux ont cette eau constante autour d'eux,4
Je me sens réticent.,4
J'ai l'impression de vouloir t'appeler mais j'ai peur d'être dupé à nouveau.,4
"Je suis inquiet avant de rencontrer quelqu'un de nouveau, particulièrement dans une situation de groupe, mais je m'engage pour tout ce que je peux et j'espère que j'aurai trouvé le courage de le faire d'ici là et j'ai toujours jusqu'à présent",4
Je ne peux pas effacer le sentiment qu'il se passe quelque chose d'étrange.,4
Je me suis réveillée en me sentant tremblante et nausée avec beaucoup de crampes et de pression dans mon abdomen et mon bassin,4
Je me sens bizarre d'une façon ou d'une autre,4
"Il y a quelques années, je me souvenais du début du mois de décembre où je me sentais le plus agité du travail supplémentaire que les vacances exigent de la mère avec un emploi du temps déjà surchargé.",4
Je me sens de moins en moins terrifié et de plus en plus positif que notre rêve d'élever une fille se réalise,4
Je sens que zhao wu déteste le plus suspect un href http vdznxlpufgen,4
J'ai l'impression que ça se prête à être très bien affligé.,4
Je me sens terrifié pour nous et notre gentil petit homme,4
Je n'étais pas sûr d'avoir le taxol depuis que j'ai commencé la chimio.,4
Je me sens effrayé par la maladie et la mort,4
Je me sens beaucoup moins anxieux d'avoir un bébé et de commencer à l'accepter et j'attends avec impatience,4
"Je suis excitée de dessiner du collage de peinture et de me salir les mains, mais pour quelque raison que ce soit, je me sens un peu dépassée.",4
Je me sens vraiment indécis aujourd'hui et j'ai besoin d'aide pour décider ce qu'il faut faire pour dîner.,4
Je me sens très stressé surtout parce qu'on m'a appris à faire confiance aux gens et à ne pas accuser les gens et j'essaie,4
Je me sens un peu inquiet de tourner,4
Je me sens sérieusement douteux si l'une des choses que j'aime appeler mon apprentissage ou mon éducation ou quoi que ce soit a ajouté même un sou de valeur dans ma vie réelle,4
Je me sens agité de sauter d'un projet à l'autre,4
J'ai lu le livret sur la pilule d'avortement je me sentais sceptique à ce sujet au début parce que les effets secondaires étaient un peu effrayants que la pilule me fera avoir une fausse couche et des crampes d'estomac comme wow,4
Je me sens ébranlé Je me sens en colère Je me sens comme je m'en soucie quand personne ne se soucie de ne pas essayer de travailler les choses à chacun son propre est notre nouveau concept et modèle,4
J'étais à la plage l'idée d'une plage occupée et ramasser la litière parmi des groupes de gens a commencé à me faire sentir un peu appréhensif et j'ai presque changé d'avis,4
Je me sens tellement agitée,4
Je n'ai pas permis la possibilité de se poser que le déménagement me ferait me sentir incertain et hors de toutes sortes,4
"Je me réjouis de l'opportunité d'un véritable partenariat, je ne dirais pas la vérité si je n'admettais pas de me sentir aussi inquiet.",4
"Je me sentais anxieux, nerveux et ennuyé.",4
Je me sens si indécise dans la vie,4
J'ai l'impression que je devais être coincée ensemble.,4
Je suis allé discuter avec quelqu'un qui est maintenant mon mentor se sentant très sceptique en pensant que cette personne était complètement crackers et ce ne serait pas pour moi,4
Je ne me sens pas sûr de me sentir aussi un peu excité.,4
"J'ai trouvé que je ne supportais pas l'idée qu'une fille soit cruelle à punky sans raison, pas quand elle se sentait déjà si incertaine sur sa position sociale dans la classe.",4
Je me sens incertain sur la façon d'être ok avec une certaine attention sexuelle au nom de la rencontre et de botter le cul en général,4
ive a passé beaucoup trop de temps à ressentir de la douleur au point que j'ai peur de m'y laisser ouvert.,4
J'étais quand sur les conventions il a cette chose merveilleuse de ne pas se sentir embarrassé d'être là,4
"Je me suis réveillée aussi agitée et nerveuse que la veille, mais pour des raisons très différentes.",4
Je me sens un peu coincée et maladroite.,4
"Je me sens terrifié par le fait que je deviens fou, je suis terrifié par la mort.",4
Je me sens un peu angoissée.,4
Je me sens un peu moins effrayée à ce sujet.,4
"Je pense que je ne serais pas un peu dérangé d'entendre que tous les forages devaient cesser immédiatement dans le dakota du nord jusqu'à ce que des logements abordables soient disponibles dans toutes les régions tous les niveaux de revenu, etc.",4
Je me sens beaucoup moins débordée maintenant,4
J'ai le droit de me sentir effrayée et de dire que j'ai peur.,4
"Je ne veux pas me sentir douteux de moi-même, mais je suis le genre de personne qui fait face à la réalité sans rester dans le déni",4
Je ne me sentais pas pressé d'être honnête dans ma réponse à son travail.,4
Je me sentais mal après la course en mémoire de la femme qui a été enlevée et assassinée.,4
Je deviens juste une version plus distillée de moi-même frappant la peur dans le cœur de beaucoup alors je ne ressens pas besoin de mettre quelqu'un d'autre dans cette image même si je ne pense pas que je serais si hésitant à ce sujet maintenant,4
J'ai le sentiment que vous êtes assez sceptique si on vous a dit de demander si vous avez un lien avec un anniversaire avec le numéro que j'ai si j'ai hoche mais vraiment il aurait pu dire n'importe quel nombre et j'aurais alors dit ahhh toujours pas convaincu,4
J'ai aussi dit qu'il comprendrait si cela lui serait mal à l'aise ou ne lui conviendrait pas en raison de son emploi du temps.,4
Je suppose que me brûler m'a laissé paranoïaque et délirant.,4
Je me sentais alarmé.,4
i nevins je me sens réticent à prendre de l'espace avec ce point,4
Je touchais ses cheveux en sentant comment il a glissé au-delà de mes doigts laissant d'étranges picotements que je ne pouvais pas arrêter,4
Je me sens très indécis à propos de ce poème et il m'a pris un moment pour poster,4
"Je peux sentir l'attraction en retour à cela, mais im hésitant à le laisser partir",4
Je me sens vraiment dérangée maintenant confuse et frappée et tellement hors de la place,4
J'ai rompu avec toi parce que je pouvais me sentir en train de tomber amoureuse de toi et j'avais peur.,4
Je ne suis vraiment pas intéressé et je me sens poussé à dire une raison de ne pas l'être.,4
"Je saute mon verre d'eau du matin, je me sens fragile et désorienté avec les débuts d'un mal de tête",4
Je lis ou je dors et j'essaie de ne pas me sentir agité en essayant d'honorer l'importance de la détente et du repos,4
"Je me sens pour Celia, mais elle est encore si peu sûre quand il s'agit de relations.",4
Je me sentirai timide de la publicité,4
Je me sens réticent à faire tout ce qui est listé ci-dessus,4
"Je ne sais pas ce qu'il pourrait être le temps qu'il pourrait être le fait que j'ai un anniversaire cette semaine, mais je me sens vraiment agité",4
id aller à la maison id juste obtenir cette sensation de naufrage dans mon estomac et id devenir vraiment tremblant,4
Je me sentais de nouveau douteuse.,4
J'aimerais ne pas me sentir si frénétique.,4
J'ai presque peur de détester ce livre.,4
Je me suis agenouillé pour me concentrer sur ma respiration et mon coeur jusqu'à ce que je puisse tenir mon pendule immobile et revenir au cercle un peu fragile mais tellement plus clair sur tout,4
Je me sens torturé pour chaque jour qui passe sans elle,4
Je les ai couverts à l'avant je me sentais un peu douteux à ce sujet et je n'aime pas sentir comme ça quand il s'agit de mes cheveux je l'ai aimé juste je pense que c'était trop de points forts à l'avant donc je l'ai couvert de bon noir naturel,4
Je me sens vraiment réticente à signaler,4
i changement je me sens plus vulnérable plus précaire,4
Je me sens un peu indécis quant à ce qu'il faut faire en termes d'alliance,4
J'avais été assez confus ces dernières semaines.,4
Je marchais avec une autre personne quand un gang nous a séparés et m'a poussé dans une maison.,4
Je pourrais ouvrir cette boîte et te trouver et ne sentir qu'une meloncholy reminisance au lieu de ce déchirement de cœur,4
im se sent toujours submergé et désorienté et pas moi-même mais déjà ive a pu voir et entendre de choses assez cool dans les trois derniers jours,4
Im se sentant émotionnellement vulnérable et encore coquillage choqué par la peur pour ma mère petit-fils devient sarcastique et grossier,4
im un chat effrayé qui aime se sentir effrayé par les films d'horreur,4
Je ne fais confiance à personne et je me sens paranoïaque,4
Je vous sens encore si proche de rejouer les mots éditant mes lignes im si secouées avec peur que personne ne puisse diviner je ne pouvais parler ces phrases clés qui pourraient nous amener à genoux tout ce dont vous avez besoin est de dire s'il vous plaît et mon corps est le chaos des douleurs d'adrénaline pour combattre ou fuir,4
Je me sens intimidé comme si je voulais juste me retourner et retourner dans la sécurité de mon cours de yoga ou sauter sur le tapis roulant éprouvé et fidèle,4
Je me sens pour tous les chats et chiens pétrifiés et les bébés qui sont soumis à quatre jours d'avions de chasse rugissant près du sol provoquant des structures à trembler et des fenêtres à hochet sans la conception de ce qui se passe,4
"Je suis toujours en train de subir plusieurs tests et d'éprouver des douleurs et des problèmes majeurs dans tout mon corps, mais ce n'est pas vraiment ce qui me fait me sentir si étrange",4
Je me sens tellement confus maintenant,4
Je me sens pressé de choisir l'emplacement parfait,4
Je me sens réticent à écrire ce blog non pas parce que je n'ai pas aimé l'œdipe mais parce qu'il est difficile d'analyser une histoire qui n'a pas de fin heureuse apparente,4
J'ai commencé à me sentir vraiment bizarre physiquement,4
Je me sentais confus et en colère aussi bien que très triste,4
C'est la raison pour laquelle c'est si parce que j'ai l'impression que mon expérience a été suffisante pour me faire agiter.,4
J'avais déjà peur et j'avais peur.,4
J'ai eu un petit peu de taches hier soir sans doute rien à craindre mais encore assez pour me faire sentir très nerveux,4
Je sais aussi ce que ça fait d'avoir peur d'essayer quelque chose de nouveau,4
Je me sens vraiment mal à l'aise tout le temps et finir par dire de la merde aux gens et tout gâcher,4
Je me sens un peu bizarre de quitter la nursery sur mon propre im pas aussi contrarié que je pensais que je serais,4
Je me sens anxieux et sans valeur,4
Je ne peux m'empêcher de me sentir sceptique à propos de tout ça.,4
pendant que j'attendais qu'ils me donnent les marques du sujet le plus difficile cette année,4
J'ai compris pourquoi ils n'étaient pas sûrs.,4
Je me sens coincée incertain réservé s'est évanoui,4
"Je me sens ébranlé ce matin par la façon dont certaines personnes sont prêtes à tuer l'innocent, que ce soit un génocide parrainé par l'État en Syrie, un norwegien qui protégeait son pays de la menace perçue d'une incursion extraterrestre ou deux hommes à Denver qui l'ont fait pour le ciel sait quelle raison.",4
